DroneReached,DroneLost,DroneDead,TimeReached,Collisions,Sigma
---COLLISION RUN 1---
4,0,3,24.52645,34,13.5405
4,0,3,23.93901,48,14.01741
6,0,1,22.56556,32,11.72525
4,0,3,25.32009,34,13.41111
5,0,2,22.23281,40,14.57256
5,0,2,24.1815,38,13.95526
4,0,3,27.58308,50,10.96918
4,0,3,23.85615,49,14.33264
5,0,2,22.92903,23,12.70196
4,0,2,24.08697,24,13.95889
5,0,2,21.92236,29,11.28911
3,0,4,23.85357,42,14.41136
4,0,3,27.08663,257,12.76192
4,0,3,22.69673,58,13.79365
5,0,2,24.66395,158,15.12998
6,0,2,24.13854,107,11.92631
5,0,2,27.40827,24,9.996831
5,0,2,27.45299,26,11.15473
3,0,4,33.71351,63,11.08865
4,0,2,20.98813,37,14.35897
3,0,4,25.21103,31,14.01435
3,0,4,23.31034,35,14.20625
4,0,3,23.73478,45,15.28152
4,0,3,23.46721,34,13.94126
4,0,3,25.07514,26,13.27346
5,0,2,26.27998,45,11.86124
5,0,2,23.46216,31,14.3765
4,0,3,23.42488,84,15.18987
4,0,2,24.12162,31,13.5801
4,0,3,23.96484,61,14.58279
5,0,2,24.01765,30,14.0859
6,0,1,23.50641,35,9.517263
4,0,3,24.54234,41,15.75344
5,0,1,20.80263,29,12.35606
5,0,2,23.41323,44,13.38157
5,0,2,23.2691,57,13.80716
4,0,2,21.40059,30,15.6445
5,0,2,23.20507,31,12.75687
4,0,3,23.40902,32,13.54207
4,0,3,26.44314,34,13.05777
5,0,2,23.80554,31,12.43687
4,0,3,23.76511,41,16.09506
6,0,1,23.27023,76,11.46405
4,0,3,24.59377,41,14.35726
5,0,2,22.56079,36,13.38306
4,0,3,24.18553,71,14.20093
4,0,3,22.49406,53,15.16881
5,0,3,23.92239,47,13.39194
4,0,3,26.93008,22,11.4021
5,0,2,22.1785,29,13.21706
4,0,3,23.52011,90,13.23424
5,0,2,23.28782,47,14.5938
4,0,3,22.79475,27,14.99961
5,0,2,24.16068,28,13.09603
4,0,3,23.54329,52,15.61677
4,0,3,22.68839,23,15.90771
6,0,1,22.53534,59,11.8733
6,0,1,25.02848,35,11.6266
5,0,2,23.78264,41,13.9429
5,0,2,23.45459,25,14.81143
5,0,2,24.03221,90,13.55353
4,0,2,24.71577,40,12.6251
5,0,2,22.79565,44,14.47799
5,0,2,22.41346,27,12.13611
5,0,2,23.78971,24,10.37133
4,0,3,25.68979,39,14.35636
5,0,2,31.13787,32,7.885652
5,0,2,24.84605,42,14.72288
5,0,2,25.44849,26,11.31444
5,0,2,23.07748,43,13.94417
4,0,3,28.13255,60,11.89652
5,0,2,23.18158,33,13.20456
6,0,1,23.16924,125,12.35711
5,0,2,28.00592,80,12.51905
4,0,3,22.60998,149,12.82573
4,0,3,27.45191,31,12.56653
5,0,2,21.74581,47,13.09188
3,0,4,27.04969,43,13.04007
4,0,3,28.71713,35,10.99927
5,0,2,23.74597,45,13.82693
4,0,2,24.83837,24,14.30833
5,0,2,22.76481,29,13.41754
5,0,2,27.65586,37,11.82888
4,0,3,28.59919,84,13.17538
4,0,2,23.08127,34,15.1692
5,0,2,24.32934,39,13.86638
4,0,3,23.91978,40,15.28571
5,0,2,27.38166,52,12.08694
5,0,2,21.60458,50,14.4722
5,0,2,23.28215,46,13.57171
5,0,2,25.42967,40,13.03047
5,0,2,22.38862,29,12.91266
5,0,1,22.62095,38,12.63764
5,0,2,23.5287,196,12.12848
5,0,2,25.26346,25,11.84015
4,0,3,27.61875,78,12.36448
4,0,3,23.09454,59,15.46506
4,0,3,24.78945,22,11.75124
