av,al,co,se,ta,tcost
10,5,16.5,18,0.5,0.3181389
10,5,16.5,17.5,0.5,0.3505866
10,5,16.5,18,0.5,0.3108778
10.5,5,16.5,18,0.5,0.3878822
10.5,5,17,18,0.5,0.2870706
10.5,5,16.5,18,0.5,0.3129293
11,5,16.5,18,0.5,0.3070633
11,5.5,16.5,18,0.5,0.2488524
11,5.5,16.5,18,0,0.301446
11,5.5,16.5,18.5,0,0.3098229
11.5,5.5,16.5,18.5,0,0.2996937
11.5,5.5,16.5,18.5,0.5,0.3174968
11.5,5.5,17,18.5,0.5,0.310927
11,5.5,17,18.5,0.5,0.3125936
11,5.5,17,18,0.5,0.3710184
11,5.5,16.5,18,0.5,0.304266
11,5.5,16.5,18,0,0.3239504
11,5.5,16,18,0,0.3508655
11.5,5.5,16,18,0,0.3587775
11.5,5.5,15.5,18,0,0.3112181
12,5.5,15.5,18,0,0.3579467
12,6,15.5,18,0,0.3226137
12,5.5,15.5,18,0,0.3685808
12,5.5,15,18,0,0.3756688
12,5.5,15,18.5,0,0.3157894
12,5.5,14.5,18.5,0,0.3733728
12,5.5,14.5,18,0,0.3649428
12,5.5,14.5,17.5,0,0.305729
12,5.5,14,17.5,0,0.3159327
12,5.5,13.5,17.5,0,0.3078289
12,6,13.5,17.5,0,0.3176679
12,6,13.5,18,0,0.3083407
12,6,13.5,18,0.5,0.3162287
12,6,13.5,18,1,0.3291543
12,6,14,18,1,0.3185457
12,6.5,14,18,1,0.3718033
12,6.5,14,17.5,1,0.3180299
12,6.5,13.5,17.5,1,0.3143247
12,6,13.5,17.5,1,0.2475972
12,6,13.5,17.5,0.5,0.3676438
12,6.5,13.5,17.5,0.5,0.3241443
12,6,13.5,17.5,0.5,0.3187793
12,6,13.5,17.5,0,0.3800811
12,6,14,17.5,0,0.3096201
12,6,13.5,17.5,0,0.3204391
12.5,6,13.5,17.5,0,0.2655892
12,6,13.5,17.5,0,0.3206322
11.5,6,13.5,17.5,0,0.3270572
11.5,6,13.5,18,0,0.3706817
11.5,6,13.5,17.5,0,0.3200018
11.5,5.5,13.5,17.5,0,0.3043445
11.5,5.5,13.5,18,0,0.3066443
11,3,15,18,1,0.3671525
11,3,15,18,1.5,0.318913
11,3,15,18.5,1.5,0.37638
10.5,3,15,18.5,1.5,0.3137698
10.5,3,15.5,18.5,1.5,0.325097
10.5,2.5,15.5,18.5,1.5,0.3695593
10.5,2.5,15.5,18,1.5,0.3164104
10.5,2,15.5,18,1.5,0.3630154
10.5,2,16,18,1.5,0.3122264
10,2,16,18,1.5,0.3075026
10,2,16,17.5,1.5,0.3636236
10,2,16,17,1.5,0.3817903
10,2,15.5,17,1.5,0.356544
10,2,15.5,17,1,0.3656827
10,1.5,15.5,17,1,0.3121318
10.5,1.5,15.5,17,1,0.374828
10.5,1.5,15.5,16.5,1,0.3773867
10.5,1.5,16,16.5,1,0.3672846
11,1.5,16,16.5,1,0.375813
11.5,1.5,16,16.5,1,0.3759906
11.5,2,16,16.5,1,0.324025
11.5,2.5,16,16.5,1,0.3783425
11.5,2.5,16,16.5,0.5,0.3736434
11.5,2,16,16.5,0.5,0.3138326
12,2,16,16.5,0.5,0.3841656
12,1.5,16,16.5,0.5,0.3174825
