av,al,co,se,ta,tcost
2.5,-2.9,7,11.5,1,0.4450155
2.5,-2.9,7.5,11.5,1,0.4456
3,-2.9,7.5,11.5,1,0.4402814
3,-2.9,7.5,11.5,0.5,0.4161367
3,-2.9,7.5,12,0.5,0.4719194
3,-2.9,8,12,0.5,0.4149222
3,-2.9,8,12.5,0.5,0.4812957
3,-2.9,8,12,0.5,0.4871977
2.5,-2.9,8,12,0.5,0.421087
2.5,-2.9,8,11.5,0.5,0.4206477
2.5,-2.9,8.5,11.5,0.5,0.4774199
2.5,-2.9,9,11.5,0.5,0.4371555
2.5,-2.9,9,11,0.5,0.4521544
2.5,-2.9,9,11,0,0.4533697
2.5,-2.9,9.5,11,0,0.4614864
2.5,-3.4,9.5,11,0,0.4123589
2.5,-3.4,9.5,11,-0.5,0.4460354
2.5,-3.4,9.5,10.5,-0.5,0.4714687
2,-3.4,9.5,10.5,-0.5,0.4588041
2,-3.4,9.5,11,-0.5,0.3936634
2,-3.4,9.5,10.5,-0.5,0.4339942
1.5,-3.4,9.5,10.5,-0.5,0.4980384
2,-3.4,9.5,10.5,-0.5,0.4644054
2,-2.9,9.5,10.5,-0.5,0.4477602
2,-2.9,9.5,10.5,-1,0.4343706
1.5,-2.9,9.5,10.5,-1,0.4832355
1,-2.9,9.5,10.5,-1,0.4043929
1,-3.4,9.5,10.5,-1,0.4290175
1.5,-3.4,9.5,10.5,-1,0.4542816
1.5,-3.4,9,10.5,-1,0.4655152
1.5,-3.4,9,11,-1,0.4260367
1.5,-3.4,8.5,11,-1,0.4437627
1.5,-3.4,8.5,10.5,-1,0.4488478
1,-3.4,8.5,10.5,-1,0.3898033
0.5,-3.4,8.5,10.5,-1,0.4427838
0.5,-3.4,8.5,10.5,-0.5,0.4180532
0.5,-3.4,8.5,10.5,-1,0.4348917
0.5,-3.4,8.5,10.5,-0.5,0.4350545
0.5,-3.4,8,10.5,-0.5,0.4605976
0,-3.4,8,10.5,-0.5,0.4642543
0,-3.4,8.5,10.5,-0.5,0.4941735
0,-3.9,8.5,10.5,-0.5,0.4604068
0,-3.9,8.5,10.5,-1,0.4825173
0,-3.9,8.5,10.5,-0.5,0.4743597
0.5,-3.9,8.5,10.5,-0.5,0.4277939
1,-3.9,8.5,10.5,-0.5,0.4370981
1,-3.9,8,10.5,-0.5,0.453499
0.5,-3.9,8,10.5,-0.5,0.4669553
0,-3.9,8,10.5,-0.5,0.4190514
0,-3.9,8.5,10.5,-0.5,0.4784297
0,-4.4,8.5,10.5,-0.5,0.4244809
0,-4.4,9,10.5,-0.5,0.4381345
0,-4.4,9,10,-0.5,0.4485515
0,-4.4,9.5,10,-0.5,0.4165191
0.5,-4.4,9.5,10,-0.5,0.4520259
0,-4.4,9.5,10,-0.5,0.438961
0,-4.4,9.5,10.5,-0.5,0.4627011
0.5,-4.4,9.5,10.5,-0.5,0.4412965
1,-4.4,9.5,10.5,-0.5,0.4859191
1,-3.9,9.5,10.5,-0.5,0.4342291
1,-3.9,9.5,11,-0.5,0.4256594
1,-3.4,9.5,11,-0.5,0.471034
1,-3.4,9.5,11.5,-0.5,0.4399776
0.5,-3.4,9.5,11.5,-0.5,0.4645558
0.5,-3.4,9.5,12,-0.5,0.4462854
0.5,-3.4,9.5,11.5,-0.5,0.420255
0.5,-2.9,9.5,11.5,-0.5,0.4148302
1,-2.9,9.5,11.5,-0.5,0.4404606
1,-2.9,9.5,11.5,-1,0.4947451
